Name,Count,Gender,First,Last,Peak
Aaban,120,M,2007,2019,2014
Aabha,46,F,2011,2020,2014
Aabid,16,M,2003,2018,2018
Aabidah,5,F,2018,2018,2018
Aabir,10,M,2016,2018,2016
Aabriella,51,F,2008,2020,2016
Aada,13,F,2015,2018,2018
Aadam,308,M,1987,2020,2015
Aadan,130,M,2003,2017,2009
Aadarsh,233,M,2000,2020,2014
Aadav,12,M,2019,2020,2020
Aadaya,9,F,2018,2018,2018
Aaden,5,F,2009,2009,2009
Aaden,4975,M,2001,2020,2009
Aadesh,22,M,2005,2017,2017
Aadhan,11,M,2019,2020,2019
Aadhav,258,M,2005,2020,2015
Aadhavan,56,M,2010,2020,2013
Aadhi,75,M,2013,2020,2018
Aadhira,164,F,2012,2020,2020
Aadhiran,34,M,2018,2020,2020
Aadhvik,101,M,2015,2020,2020
Aadhvika,25,F,2016,2020,2016
Aadhya,2199,F,2007,2020,2017
Aadhyan,28,M,2011,2020,2020
Aadhyareddy,6,F,2018,2018,2018
Aadhyasri,21,F,2018,2020,2019
Aadi,16,F,2006,2013,2013
Aadi,933,M,2003,2020,2008
Aadian,5,M,2014,2014,2014
Aadil,389,M,1985,2020,2004
Aadilynn,5,F,2017,2017,2017
Aadin,124,M,2004,2017,2009
Aadish,46,M,2011,2020,2012
Aadison,11,F,2009,2012,2009
Aadit,425,M,2003,2020,2017
Aadith,104,M,2003,2020,2017
Aadithya,19,M,2015,2020,2020
Aaditri,58,F,2010,2019,2016
Aaditya,612,M,1997,2020,2008
Aadiv,17,M,2012,2015,2012
Aadiya,5,F,2019,2019,2019
Aadon,118,M,2003,2016,2009
Aadrian,12,M,2009,2015,2015
Aadrika,33,F,2013,2019,2015
Aadrit,15,M,2012,2017,2012
Aadriti,24,F,2016,2020,2017
Aadvi,7,F,2016,2016,2016
Aadvik,339,M,2012,2020,2016
Aadvika,87,F,2013,2020,2017
Aadya,1450,F,2003,2020,2020
Aadyant,6,M,2018,2018,2018
Aadyn,16,F,2008,2009,2008
Aadyn,555,M,2003,2020,2009
Aafia,11,F,2015,2020,2015
Aafiya,48,F,2016,2020,2020
Aafiyah,33,F,2016,2020,2020
Aafreen,5,F,2004,2004,2004
Aagam,42,M,2012,2020,2012
Aage,7,M,1915,1915,1915
Aagna,7,F,2016,2016,2016
Aagot,5,F,1915,1915,1915
Aahaan,52,M,2012,2019,2015
Aahan,384,M,2005,2020,2018
Aahana,743,F,2005,2020,2018
Aaheli,10,F,2017,2018,2017
Aahid,5,M,2020,2020,2020
Aahil,726,M,2000,2020,2016
Aahir,13,M,2015,2020,2020
Aahlani,5,F,2020,2020,2020
Aahliyah,24,F,2003,2009,2003
Aahna,108,F,2007,2020,2014
Aahron,5,M,2008,2008,2008
Aaidan,38,M,2003,2010,2008
Aaiden,890,M,2004,2020,2015
Aaidyn,65,M,2011,2018,2012
Aaila,66,F,2009,2020,2014
Aailiyah,15,F,1995,2015,1995
Aailyah,212,F,1994,2020,2010
Aaima,95,F,2013,2020,2016
Aaira,258,F,2009,2020,2019
Aairah,165,F,2007,2020,2017
Aaisha,216,F,1981,2020,2019
Aaishah,23,F,2002,2017,2002
Aaiyana,10,F,2009,2020,2009
Aaiza,36,F,2009,2020,2020
Aaja,5,F,2002,2002,2002
Aajah,29,F,1998,2009,2006
Aajaylah,20,F,2001,2006,2006
Aajon,8,M,2007,2007,2007
Aakanksha,10,F,2001,2016,2001
Aakarsh,58,M,2002,2017,2011
Aakash,985,M,1979,2020,2002
Aakeem,16,M,1989,2002,1994
Aakif,5,M,2018,2018,2018
Aakil,28,M,2017,2020,2017
Aakilah,18,F,1999,2000,1999
Aakira,5,F,2002,2002,2002
Aakiyah,5,F,2002,2002,2002
Aakriti,64,F,2003,2019,2014
Aala,121,F,1994,2020,2017
Aalaiya,14,F,2011,2019,2011
Aalaiyah,75,F,1997,2020,2013
Aalam,16,M,2018,2020,2020
Aalana,55,F,2002,2018,2008
Aalanah,21,F,2006,2014,2014
Aalani,155,F,2004,2020,2020
Aalap,6,M,1990,1990,1990
Aalasia,5,F,2018,2018,2018
Aalaya,177,F,2001,2020,2019
Aalayah,978,F,1994,2020,2019
Aalayiah,20,F,2012,2016,2015
Aalayjah,6,F,2005,2005,2005
Aalayna,40,F,2003,2015,2014
Aalaysha,17,F,2005,2007,2005
Aalaysia,155,F,2001,2020,2014
Aalea,7,F,2013,2013,2013
Aaleah,312,F,1997,2020,2012
Aaleahya,20,F,2011,2015,2011
Aaleayah,5,F,2016,2016,2016
Aaleena,5,F,2015,2015,2015
Aaleeya,5,F,2004,2004,2004
Aaleeyah,135,F,1994,2020,2013
Aaleia,5,F,2020,2020,2020
Aaleiah,6,F,2015,2015,2015
Aaleigha,177,F,1997,2020,2012
Aaleiya,29,F,2017,2018,2017
Aaleiyah,53,F,2004,2020,2013
Aalena,5,F,2015,2015,2015
Aalexis,20,F,1997,2004,2004
Aalexus,6,F,1997,1997,1997
Aaleya,16,F,2009,2014,2014
Aaleyah,1302,F,1994,2020,2015
Aali,6,M,2015,2015,2015
Aalia,585,F,1994,2020,2016
Aaliah,960,F,1994,2020,2009
Aaliana,23,F,2013,2018,2013
Aalias,5,M,2005,2005,2005
Aaliayah,124,F,1994,2014,2002
Aaliayh,47,F,2000,2006,2005
Aalicia,5,F,2004,2004,2004
Aalieyah,5,F,2015,2015,2015
Aaliha,12,F,2004,2007,2004
Aalijah,149,F,1994,2018,2017
Aalijah,244,M,2002,2020,2019
Aalilah,5,F,2017,2017,2017
Aalim,41,M,1996,2020,2009
Aalimah,11,F,2013,2014,2013
Aalin,5,F,2019,2019,2019
Aalina,79,F,2004,2019,2018
Aalinah,6,F,2015,2015,2015
Aalisa,5,F,2015,2015,2015
Aalisha,35,F,2002,2015,2013
Aalivia,71,F,2004,2020,2014
Aaliya,1326,F,1988,2020,2010
Aaliyaa,5,F,2013,2013,2013
Aaliyah,94707,F,1976,2020,2012
Aaliyah,101,M,1994,2019,2013
Aaliyaha,21,F,2000,2005,2002
Aaliyahmarie,44,F,2003,2018,2017
Aaliyahrose,34,F,2012,2019,2014
Aaliyan,123,F,1994,2020,2007
Aaliyan,22,M,2016,2020,2019
Aaliyana,113,F,2002,2018,2012
Aaliyanna,11,F,2015,2019,2019
Aaliyha,438,F,1994,2018,2002
Aaliyiah,41,F,2002,2016,2011
Aalliyah,164,F,1994,2013,2001
Aallyah,5,F,2006,2006,2006
Aalok,10,M,1986,2012,1986
Aalon,5,M,1978,1978,1978
Aaloni,5,F,2016,2016,2016
Aalya,59,F,2010,2020,2013
Aalyah,672,F,1994,2020,2002
Aalycia,25,F,2002,2006,2002
Aalyha,19,F,2001,2007,2001
Aalyia,5,F,2005,2005,2005
Aalyiah,770,F,1994,2020,2011
Aalyna,5,F,2015,2015,2015
Aalysia,6,F,2002,2002,2002
Aalyssa,115,F,1997,2016,2002
Aalyvia,5,F,2011,2011,2011
Aamanda,10,F,1985,1986,1985
Aamanee,16,F,2015,2019,2019
Aamani,205,F,2002,2020,2016
Aamar,5,M,2005,2005,2005
Aamara,5,F,2020,2020,2020
Aamari,96,F,2001,2020,2007
Aamari,146,M,2004,2020,2012
Aamarion,10,M,2002,2010,2002
Aamaya,21,F,2001,2020,2020
Aamber,14,F,1986,1991,1986
Aamena,10,F,2007,2009,2007
